Timestamp,IP,URL,Clicked
2014-08-12T01:02:33.922Z,201.113.116.140,http://www.example.com/2013/02/14/showbiz/gallery/celebrity-power-couples/1x1.gif,0
2014-08-12T01:02:38.922Z,30.87.105.238,http://www.example.com/trends/2014/07/07/us/twitter-explodes/1x1.gif,0
2014-08-12T01:02:39.922Z,70.247.211.82,http://www.example.com/2014/07/07/health/diet-fitness/irpt-weight-loss-kerry-hoffman/1x1.gif,0
2014-08-12T01:02:41.922Z,141.4.224.70,http://www.example.com/2014/07/02/world/gallery/look-at-me-0702/1x1.gif,0
2014-08-12T01:02:42.922Z,207.60.167.160,http://www.example.com/2014/07/07/showbiz/celebrity-news-gossip/miley-cyrus-dog-tattoo-floyd/1x1.gif,1
2014-08-12T01:02:45.922Z,180.151.167.225,http://www.example.com/2014/07/08/health/coffee-workout/1x1.gif,0
2014-08-12T01:02:46.922Z,74.105.189.202,http://www.example.com/2014/07/07/opinion/harvey-pregent-iraq-iran/1x1.gif,0
2014-08-12T01:02:47.922Z,107.142.194.136,http://www.example.com/trends/2014/07/07/us/twitter-explodes/1x1.gif,0
2014-08-12T01:02:54.922Z,239.79.67.222,http://www.example.com/2014/07/08/sport/football/world-cup-brazil-germany-preview/1x1.gif,0
2014-08-12T01:02:56.922Z,131.152.60.166,http://www.example.com/2014/07/08/opinion/matloff-tech-ethics/1x1.gif,0
2014-08-12T01:02:58.922Z,251.130.95.7,http://www.example.com/2013/02/14/showbiz/gallery/celebrity-power-couples/1x1.gif,0
2014-08-12T01:03:06.922Z,131.2.112.186,http://www.example.com/2014/07/04/health/mosquito-bites-myths/1x1.gif,0
2014-08-12T01:03:07.922Z,68.52.17.214,http://www.example.com/2014/07/08/worldsport/gallery/what-a-shot-0708/1x1.gif,0
2014-08-12T01:03:09.922Z,189.52.64.67,http://www.example.com/2014/07/07/tech/mobile/reservation-hop-app-controversy/1x1.gif,0
2014-08-12T01:03:11.922Z,193.193.102.202,http://www.example.com/2014/07/08/opinion/matloff-tech-ethics/1x1.gif,0
